Country,Year,ElementName,MDS1,MDS2
Zambia,1980,Calories,0.255710892,-0.315009782
Zimbabwe,1980,Calories,0.179896284,-0.395489264
Albania,1990,Calories,-0.36964608,-0.140070023
Algeria,1990,Calories,-0.273390066,-0.216430493
Angola,1990,Calories,0.36742928,0.029215391
Antigua and Barbuda,1990,Calories,-0.259078938,0.145917998
Argentina,1990,Calories,-0.315543871,-0.091869968
Australia,1990,Calories,-0.209164877,-0.085709957
Austria,1990,Calories,-0.285266743,-0.032333381
Bahamas,1990,Calories,-0.221816121,0.084911649
Bangladesh,1990,Calories,0.211642928,-0.284497146
Barbados,1990,Calories,-0.112942461,0.025370926
Belgium-Luxembourg,1990,Calories,-0.229889374,-0.057394711
Belize,1990,Calories,-0.145881723,0.091717301
Benin,1990,Calories,0.473179451,-0.077267276
Bermuda,1990,Calories,-0.357830896,0.203324226
Bolivia (Plurinational State of),1990,Calories,-0.102855571,-0.006023154
Botswana,1990,Calories,-0.018996773,-0.125145025
Brazil,1990,Calories,-0.115620976,-0.003083027
Brunei Darussalam,1990,Calories,-0.054203227,0.042899635
Bulgaria,1990,Calories,-0.322422523,-0.085091463
Burkina Faso,1990,Calories,0.579930994,-0.326923311
Burundi,1990,Calories,0.836489165,0.185831126
Côte d’Ivoire,1990,Calories,0.404155533,0.107589308
Cambodia,1990,Calories,0.272181085,0.405991387
Cameroon,1990,Calories,0.376953478,-0.007973129
Canada,1990,Calories,-0.205577842,-0.073097822
Cape Verde,1990,Calories,-0.001097454,0.008659214
Central African Republic,1990,Calories,0.693827108,0.013610327
Chad,1990,Calories,0.704582997,-0.315716492
Chile,1990,Calories,-0.287136536,-0.098214586
China,1990,Calories,-0.032630473,-0.126121919
Colombia,1990,Calories,-0.020186727,0.020567253
Comoros,1990,Calories,0.431276462,0.400221527
Congo,1990,Calories,0.218280833,0.075984476
Costa Rica,1990,Calories,-0.090567993,0.098782404
Cuba,1990,Calories,-0.01219083,0.101355379
Cyprus,1990,Calories,-0.218527428,-0.04854141
Czechoslovakia,1990,Calories,-0.306103847,-0.037700251
Democratic People's Republic of Korea,1990,Calories,-0.163138197,-0.478829724
Denmark,1990,Calories,-0.343323449,-0.042491779
Djibouti,1990,Calories,-0.011160471,-0.292480926
Dominica,1990,Calories,-0.176075198,0.232161944
Dominican Republic,1990,Calories,-0.033387081,0.070096218
Ecuador,1990,Calories,-0.109707305,0.073050765
Egypt,1990,Calories,-0.059344094,-0.228389657
El Salvador,1990,Calories,0.011384756,-0.021083998
Ethiopia PDR,1990,Calories,0.297073523,-0.467108788
Fiji,1990,Calories,-0.096312436,0.127003006
Finland,1990,Calories,-0.369957214,-0.012195657
France,1990,Calories,-0.229590708,-0.059195076
French Polynesia,1990,Calories,-0.176246278,0.057431088
Gabon,1990,Calories,0.126371201,0.116700091
Gambia,1990,Calories,0.398275749,-0.335275806
Germany,1990,Calories,-0.322976258,-0.032860495
Ghana,1990,Calories,0.583733714,0.123046527
Greece,1990,Calories,-0.27447704,-0.124579328
Grenada,1990,Calories,-0.149130815,0.201765762
Guatemala,1990,Calories,-0.048815102,-0.090487714
Guinea,1990,Calories,0.460830861,0.215461856
Guinea-Bissau,1990,Calories,0.475259196,0.129386744
Guyana,1990,Calories,-0.084687604,0.214060399
Haiti,1990,Calories,0.19927146,0.095327146
Honduras,1990,Calories,0.031798142,0.084036098
Hungary,1990,Calories,-0.321095169,-0.052166598
Iceland,1990,Calories,-0.369939827,0.043437498
India,1990,Calories,0.086357261,-0.101430566
Indonesia,1990,Calories,0.166729853,0.180271687
Iran (Islamic Republic of),1990,Calories,-0.316305283,-0.286227221
Ireland,1990,Calories,-0.320576586,-0.024767091
Israel,1990,Calories,-0.142857172,-0.088297954
Italy,1990,Calories,-0.247586833,-0.102311873
Jamaica,1990,Calories,-0.086569993,0.14571095
Japan,1990,Calories,-0.130151315,-0.018770759
