Year,GlobalMean,Measurement,FoodGroup,Unit
1970,1.053947368,Protein,Fruits,g/capita/day
1970,26.21578947,Protein,Grains,g/capita/day
1970,0.060526316,Protein,Miscellaneous,g/capita/day
1970,1.805263158,Protein,Oils,g/capita/day
1970,4.015131579,Protein,Pulses,g/capita/day
1970,0.609210526,Protein,Spices & stimulants,g/capita/day
1970,2.888157895,Protein,Starchy roots,g/capita/day
1970,0.021710526,Protein,Sweeteners,g/capita/day
1970,1.765131579,Protein,Vegetables,g/capita/day
1971,92.44078947,Calories,Alcoholic beverages,kcal/capita/day
1971,430.9144737,Calories,Animal products,kcal/capita/day
1971,92.78289474,Calories,Fruits,kcal/capita/day
1971,1008.572368,Calories,Grains,kcal/capita/day
1971,1.789473684,Calories,Miscellaneous,kcal/capita/day
1971,226.6578947,Calories,Oils,kcal/capita/day
1971,63.19078947,Calories,Pulses,kcal/capita/day
1971,10.54605263,Calories,Spices & stimulants,kcal/capita/day
1971,201.0526316,Calories,Starchy roots,kcal/capita/day
1971,259.3026316,Calories,Sweeteners,kcal/capita/day
1971,36.06578947,Calories,Vegetables,kcal/capita/day
1971,0.088815789,Fat,Alcoholic beverages,g/capita/day
1971,31.29671053,Fat,Animal products,g/capita/day
1971,0.525657895,Fat,Fruits,g/capita/day
1971,5.484210526,Fat,Grains,g/capita/day
1971,0.011842105,Fat,Miscellaneous,g/capita/day
1971,23.66776316,Fat,Oils,g/capita/day
1971,0.334868421,Fat,Pulses,g/capita/day
1971,0.506578947,Fat,Spices & stimulants,g/capita/day
1971,0.342105263,Fat,Starchy roots,g/capita/day
1971,0.008552632,Fat,Sweeteners,g/capita/day
1971,0.295394737,Fat,Vegetables,g/capita/day
1971,125.1081471,Food Weight,Alcoholic beverages,g/capita/day
1971,393.314708,Food Weight,Animal products,g/capita/day
1971,179.3366979,Food Weight,Fruits,g/capita/day
1971,336.2256669,Food Weight,Grains,g/capita/day
1971,0,Food Weight,Miscellaneous,g/capita/day
1971,51.87454939,Food Weight,Oils,g/capita/day
1971,18.6517664,Food Weight,Pulses,g/capita/day
1971,8.314708003,Food Weight,Spices & stimulants,g/capita/day
1971,229.001442,Food Weight,Starchy roots,g/capita/day
1971,77.33417448,Food Weight,Sweeteners,g/capita/day
1971,147.7919971,Food Weight,Vegetables,g/capita/day
1971,0.846710526,Protein,Alcoholic beverages,g/capita/day
1971,26.10197368,Protein,Animal products,g/capita/day
1971,1.0625,Protein,Fruits,g/capita/day
1971,26.21118421,Protein,Grains,g/capita/day
1971,0.060526316,Protein,Miscellaneous,g/capita/day
1971,1.831578947,Protein,Oils,g/capita/day
