Item,FoodGroup,Year,Measurement,NoCountries
Barley & beer,Alcoholic beverages,1962,Protein,101
Beans,Pulses,1962,Protein,95
Cassava,Starchy roots,1962,Protein,68
Cereals (other),Cereals ,1962,Protein,49
Citrus (other),Fruits,1962,Protein,8
Cloves,Spices & stimulants,1962,Protein,0
Cocoa beans,Spices & stimulants,1962,Protein,59
Coconuts,Oils,1962,Protein,58
Coffee,Spices & stimulants,1962,Protein,84
Cottonseed oil,Oils,1962,Protein,0
Dates,Fruits,1962,Protein,17
Fermented beverages,Alcoholic beverages,1962,Protein,28
Fruits (other),Fruits,1962,Protein,136
Grapefruit,Fruits,1962,Protein,7
Grapes & wine,Alcoholic beverages,1962,Protein,43
Groundnut,Oils,1962,Protein,105
Lemons & limes,Fruits,1962,Protein,8
Maize,Cereals,1962,Protein,120
Millets,Cereals,1962,Protein,48
Miscellaneous,Miscellaneous,1962,Protein,26
Oats,Cereals,1962,Protein,47
Oilcrops (other),Oils,1962,Protein,22
Olives,Oils,1962,Protein,7
Onions,Vegetables,1962,Protein,94
Oranges & mandarines,Fruits,1962,Protein,71
Palm oil,Oils,1962,Protein,3
Peas,Pulses,1962,Protein,65
Pepper,Vegetables,1962,Protein,4
Pimento,Spices & stimulants,1962,Protein,41
Pineapples,Fruits,1962,Protein,9
Potatoes,Starchy roots,1962,Protein,120
Pulses (other),Pulses,1962,Protein,126
Rape & mustard,Spices & stimulants,1962,Protein,14
Rice,Cereals,1962,Protein,147
Roots (other),Starchy roots,1962,Protein,56
Rye,Cereals,1962,Protein,34
Sesame ,Oils,1962,Protein,31
Sorghum,Cereals,1962,Protein,47
Soybean,Oils,1962,Protein,29
Spices (other),Spices & stimulants,1962,Protein,33
Sugar,Sweeteners,1962,Protein,22
Sunflower,Oils,1962,Protein,3
Sweet potatoes,Starchy roots,1962,Protein,67
Sweeteners (other),Sweeteners,1962,Protein,1
Tea,Spices & stimulants,1962,Protein,59
Tomatoes,Vegetables,1962,Protein,81
Treenuts,Oils,1962,Protein,63
Vegetables (other),Vegetables,1962,Protein,151
Wheat,Cereals,1962,Protein,151
Yams,Starchy roots,1962,Protein,36
Alcoholic beverages,Alcoholic beverages,1962,Food Weight,125
Animal Products (Total),Animal Products,1962,Food Weight,152
Apples,Fruits,1962,Food Weight,97
Bananas & plantains,Fruits,1962,Food Weight,132
Barley & beer,Alcoholic beverages,1962,Food Weight,144
Beans,Pulses,1962,Food Weight,96
Cassava,Starchy roots,1962,Food Weight,84
Cereals (other),Cereals ,1962,Food Weight,68
Citrus (other),Fruits,1962,Food Weight,28
Cloves,Spices & stimulants,1962,Food Weight,1
Cocoa beans,Spices & stimulants,1962,Food Weight,84
Coconuts,Oils,1962,Food Weight,107
Coffee,Spices & stimulants,1962,Food Weight,111
Cottonseed oil,Oils,1962,Food Weight,71
Dates,Fruits,1962,Food Weight,51
Fermented beverages,Alcoholic beverages,1962,Food Weight,57
Fruits (other),Fruits,1962,Food Weight,150
Grapefruit,Fruits,1962,Food Weight,70
Grapes & wine,Alcoholic beverages,1962,Food Weight,126
Groundnut,Oils,1962,Food Weight,119
Lemons & limes,Fruits,1962,Food Weight,82
Maize,Cereals,1962,Food Weight,124
Millets,Cereals,1962,Food Weight,48
Miscellaneous,Miscellaneous,1962,Food Weight,0
Oats,Cereals,1962,Food Weight,56
Oilcrops (other),Oils,1962,Food Weight,90
Olives,Oils,1962,Food Weight,52
Onions,Vegetables,1962,Food Weight,121
Oranges & mandarines,Fruits,1962,Food Weight,118
Palm oil,Oils,1962,Food Weight,49
Peas,Pulses,1962,Food Weight,66
Pepper,Vegetables,1962,Food Weight,36
Pimento,Spices & stimulants,1962,Food Weight,54
Pineapples,Fruits,1962,Food Weight,72
Potatoes,Starchy roots,1962,Food Weight,141
Pulses (other),Pulses,1962,Food Weight,127
Rape & mustard,Spices & stimulants,1962,Food Weight,36
Rice,Cereals,1962,Food Weight,147
Roots (other),Starchy roots,1962,Food Weight,79
Rye,Cereals,1962,Food Weight,39
Sesame ,Oils,1962,Food Weight,49
Sorghum,Cereals,1962,Food Weight,49
Soybean,Oils,1962,Food Weight,78
Spices (other),Spices & stimulants,1962,Food Weight,72
Sugar,Sweeteners,1962,Food Weight,151
Sunflower,Oils,1962,Food Weight,38
Sweet potatoes,Starchy roots,1962,Food Weight,91
