ItemName,ElementName,UnitName,AvgValue61to63,61-63percentoftotal,AvgValue07to09,07-09percentoftotal,change 2009-1961,absoluteChange,change of relative percent 2009-1961,relativeChange,Use
Citrus (other),Food Weight,g/capita/day,2.23,0.20%,3.44,0.20%,1.21,54.40%,0.00%,22.90%,
Citrus (other),Protein,g/capita/day,0.01,0.00%,0.01,0.00%,0,21.40%,0.00%,-3.90%,
Cloves,Calories,kcal/capita/day,0.01,0.00%,0.05,0.00%,0.04,633.30%,0.00%,500.10%,
Cloves,Fat,g/capita/day,0,0.00%,0,0.00%,0,300.00%,0.00%,167.50%,
Cloves,Food Weight,g/capita/day,0,0.00%,0.02,0.00%,0.01,575.00%,0.00%,437.40%,
Cloves,Protein,g/capita/day,0,0.00%,0,0.00%,0,0.00%,0.00%,0.00%,
Cocoa beans,Calories,kcal/capita/day,2.36,0.10%,10.73,0.40%,8.37,355.20%,0.30%,272.40%,
Cocoa beans,Fat,g/capita/day,0.2,0.40%,0.95,1.10%,0.75,370.40%,0.80%,214.60%,1
Cocoa beans,Food Weight,g/capita/day,1.01,0.10%,2.68,0.10%,1.67,164.60%,0.10%,110.70%,
Cocoa beans,Protein,g/capita/day,0.07,0.10%,0.2,0.30%,0.13,175.10%,0.10%,117.70%,
Coconuts,Calories,kcal/capita/day,55.16,2.40%,43.45,1.60%,-11.71,-21.20%,-0.90%,-35.50%,1
Coconuts,Fat,g/capita/day,5.55,10.00%,4.27,5.20%,-1.28,-23.10%,-4.90%,-48.50%,1
Coconuts,Food Weight,g/capita/day,27.75,1.90%,23.95,1.30%,-3.8,-13.70%,-0.60%,-31.30%,1
Coconuts,Protein,g/capita/day,0.31,0.50%,0.28,0.40%,-0.04,-11.60%,-0.20%,-30.10%,
Coffee,Calories,kcal/capita/day,1.6,0.10%,3.01,0.10%,1.41,87.80%,0.00%,53.70%,
Coffee,Fat,g/capita/day,0,0.00%,0,0.00%,0,0.00%,0.00%,0.00%,
Coffee,Food Weight,g/capita/day,3.56,0.20%,6.61,0.40%,3.06,86.00%,0.10%,48.10%,
Coffee,Protein,g/capita/day,0.21,0.30%,0.33,0.40%,0.11,53.40%,0.10%,21.40%,
Cottonseed oil,Calories,kcal/capita/day,10.07,0.40%,6.08,0.20%,-3.99,-39.60%,-0.20%,-50.60%,
Cottonseed oil,Fat,g/capita/day,1.14,2.10%,0.69,0.80%,-0.46,-39.90%,-1.20%,-59.80%,1
Cottonseed oil,Food Weight,g/capita/day,1.15,0.10%,0.69,0.00%,-0.46,-39.90%,0.00%,-52.20%,
Cottonseed oil,Protein,g/capita/day,0,0.00%,0,0.00%,0,0.00%,0.00%,0.00%,
Dates,Calories,kcal/capita/day,4.87,0.20%,4.69,0.20%,-0.18,-3.70%,0.00%,-21.20%,
Dates,Fat,g/capita/day,0.01,0.00%,0.01,0.00%,0,-7.80%,0.00%,-38.40%,
