CountryName,Abbrev,ElementName,Year,Count
Comoros,Comoros,Calories,1965,13
Congo,Congo,Calories,1965,25
Costa Rica,Costa Rica,Calories,1965,28
Ivory Coast,C“te d'Ivoire,Calories,1965,31
Cuba,Cuba,Calories,1965,28
Cyprus,Cyprus,Calories,1965,36
Czech.,Czechoslovakia,Calories,1965,38
North Korea,Democratic People's Republic of Korea,Calories,1965,22
Denmark,Denmark,Calories,1965,35
Djibouti,Djibouti,Calories,1965,12
Dominica,Dominica,Calories,1965,28
Dom. Rep.,Dominican Republic,Calories,1965,35
Ecuador,Ecuador,Calories,1965,38
Egypt,Egypt,Calories,1965,30
El Salvador,El Salvador,Calories,1965,27
Ethiopia,Ethiopia PDR,Calories,1965,31
Fiji,Fiji,Calories,1965,30
Finland,Finland,Calories,1965,29
France,France,Calories,1965,39
Frch. Polyn.,French Polynesia,Calories,1965,32
Gabon,Gabon,Calories,1965,23
Gambia,Gambia,Calories,1965,18
Germany,Germany,Calories,1965,39
Ghana,Ghana,Calories,1965,28
Greece,Greece,Calories,1965,33
Grenada,Grenada,Calories,1965,32
Guatemala,Guatemala,Calories,1965,27
Guinea,Guinea,Calories,1965,23
Guinea-Biss.,Guinea-Bissau,Calories,1965,22
Guyana,Guyana,Calories,1965,30
